Row,Address,City,ZIP,Current Name,Units,Year Built,Corrected Name,Source URL,Confidence
343,830 ARLINGTON RIVER DR,Jacksonville,32211,Jjta7 Real Apartments,8,1966,Cimarron Apartments,https://www.apartments.com/cimarron-apartments-jacksonville-fl/jn7mxh5/,
344,2929 JUSTINA RD,Jacksonville,32277,Justina Rd Apartments,8,1963,Caroline Village,https://www.apartments.com/caroline-village-jacksonville-fl/8cq8l42/,
345,1865 W EDGEWOOD AVE,Jacksonville,32208,Lake Park Ncm,8,1967,Lake Park Colonial,https://www.apartments.com/lake-park-colonial-apartments-by-arium-jacksonville-fl/rj5pfx2/,
346,8300 MERRILL RD,Jacksonville,32277,Madison Palms Apartments,8,2024,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,
347,6136 BLANDING BLVD,Jacksonville,32244,Momentum Blanding,8,2025,Momentum Blanding,https://www.apartments.com/momentum-blanding-jacksonville-fl/1jgz0b6/,
348,7893 HOGAN SETTLEMENT RD,Jacksonville,32221,Novu Normandy Residences,8,2025,,,
349,7960 MERCHANTS WAY,Jacksonville,32222,Oakley Square,8,2023,The Vantage,https://www.apartments.com/the-vantage-apartments-jacksonville-fl/pqw5c4r/,
350,10667 BRIGHTMAN BLVD,Jacksonville,32246,Oasis at Town Center Apartments,8,2019,The Oasis at Town Center,https://www.apartments.com/the-oasis-at-town-center-jacksonville-fl/2bdvw38/,
351,12001 ABESS BLVD,Jacksonville,32225,Pac Sorrel Apartments,8,2015,Sorrel Luxury Apartments,https://www.apartments.com/sorrel-luxury-apartments-jacksonville-fl/h9wzpw3/,
352,1173 PECAN PARK RD,Jacksonville,32218,Pecan Park Multifamily,8,2023,Seaton Preserve,https://www.apartments.com/seaton-preserve-jacksonville-fl/yj0rn3r/,
353,3420 S UNIVERSITY BLVD,Jacksonville,32216,Revocable Living Trust of William A Watson Apartments,8,1970,University Square Apartments,https://www.apartments.com/university-square-apartments-jacksonville-fl/bgg2wn9/,
354,5520 COLLINS RD,Jacksonville,32244,Rivers End Gardens,8,1986,Rivers End,https://www.apartments.com/rivers-end-jacksonville-fl/kfepkn9/,
355,3190 W EDGEWOOD AVE,Jacksonville,32209,Sp Hv Apartments,8,1969,Hampton Villa,https://www.apartments.com/hampton-villa-jacksonville-fl/p3qmn4s/,
356,5140 GATE PKWY,Jacksonville,32256,Src Terraces,8,2013,Terraces at Town Center,https://www.apartments.com/terraces-at-town-center-jacksonville-fl/ct980jf/,
357,8575 MERCHANTS WAY,Jacksonville,32222,Sydney Trace Apartments,8,2021,Sydney Trace,https://www.apartments.com/sydney-trace-apartments-jacksonville-fl/65wm5vr/,
358,4850 FIRST COAST TECHNOLOGY PKWY,Jacksonville,32224,University of North Florida Financing Corporation Apartments,8,2008,The Flats at UNF,https://www.apartments.com/the-flats-at-unf-jacksonville-fl/krn01e9/,
359,7735 PLANTATION BAY DR,Jacksonville,32244,Vintage Plantation Apartments,8,2001,Vintage at Plantation Bay,https://www.apartments.com/vintage-at-plantation-bay-jacksonville-fl/21167xb/,
360,7602 ARBLE DR,Jacksonville,32211,Wny Marshall Arms Apts,8,1965,Marshall Arms Apartments,https://www.apartments.com/marshall-arms-apartments-jacksonville-fl/10kryf7/,
361,12175 PHILIPS HWY,Jacksonville,32256,Wp Davis Creek Mf,8,2024,The Pointe at Davis Creek,https://www.apartments.com/the-pointe-at-davis-creek-jacksonville-fl/2mmvc09/,
362,5521 RICKER RD,Jacksonville,32244,Bdep Jax West Apartments,7,1976,Volare Apartments,https://www.apartments.com/volare-jacksonville-fl/9s61ey5/,
363,100 MAGNOLIA ST,Jacksonville,32204,Bel Brooklyn Apartments,7,2015,The Brooklyn Riverside,https://www.apartments.com/the-brooklyn-riverside-jacksonville-fl/gkec1bz/,
364,1811 ROGERO RD,Jacksonville,32211,Castille Court,7,1969,Castille Court Apartments,https://www.apartments.com/castille-court-apartments-jacksonville-fl/03zmzr0/,
365,2701 MAYPORT RD,Jacksonville,32233,Ebsco Ocean Blue Apartments,7,2018,Ocean Blue,https://www.apartments.com/ocean-blue-jacksonville-fl/pgxgq4r/,
366,5141 SHENANDOAH AVE,Jacksonville,32254,Garamor Apartments,7,1974,La Estancia / Gardens Jax,https://www.apartments.com/garden-jax-jacksonville-fl/5gvwesm/,
367,7703 INDIA AVE,Jacksonville,32211,Gsj Apartments,7,1962,,,
368,6200 S BARNES RD,Jacksonville,32216,Heather Ridge,7,1969,Heather Ridge Apartments,https://www.apartments.com/heather-ridge-jacksonville-fl/6c6l09v/,
369,2760 MAYPORT RD,Jacksonville,32233,Lpg Jaxbeach Apartments,7,1987,Atlantica Apartments,https://www.apartments.com/atlantica-apartments-jacksonville-fl/c6qht9f/,
370,9734 TAPESTRY PARK CIR,Jacksonville,32246,Mid America Apartments,7,2009,MAA Tapestry Park,https://www.apartments.com/maa-tapestry-park-jacksonville-fl/ff6j8es/,
371,3206 JUSTINA RD,Jacksonville,32277,Miramar Residences Tic,7,1964,Forest Park Apartments,https://www.apartments.com/forest-park-apartments-jacksonville-fl/2fbnncc/,
372,5643 HOLLY BELL DR,Jacksonville,32277,Miramar Residences Tic,7,1964,,,
373,1251 BEACON POINT DR,Jacksonville,32246,Mw Beacon Pointe,7,1985,Palms at Beacon Pointe,https://www.apartments.com/palms-at-beacon-pointe-jacksonville-fl/be17lxb/,
374,11390 SQUARE ST,Jacksonville,32256,Pac Menlo Apartments,7,2020,The Menlo,https://www.apartments.com/the-menlo-jacksonville-fl/4v21mgk/,
375,1333 DUNN AVE,Jacksonville,32218,Pelican Pointe Gardens,7,1987,Pelican Pointe Apartments,https://www.apartments.com/pelican-pointe-apartments-jacksonville-fl/ke9cxpb/,
376,440 BURBANK AVE,Jacksonville,32081,Ponte Vedra Apartments,7,2024,Bainbridge Ponte Vedra,https://www.apartments.com/bainbridge-ponte-vedra-town-of-nocatee-fl/mqxg6bj/,
377,2054 RIVERSIDE AVE,Jacksonville,32204,Riverside Ave Apartments,7,2001,Bell Riverside,https://www.apartments.com/bell-riverside-jacksonville-fl/q0h75ty/,
378,8833 S OLD KINGS RD,Jacksonville,32257,Shadow Bay Apartments,7,1984,Shadow Bay,https://www.apartments.com/shadow-bay-jacksonville-fl/m4hx5ek/,
379,1250 BROOKWOOD FOREST BLVD,Jacksonville,32225,Spear Brian Apartments,7,2006,Brookwood Forest,https://www.apartments.com/brookwood-forest-jacksonville-fl/gkyzkxx/,
380,3820 LOSCO RD,Jacksonville,32257,Sreit Camri Green Apartments L L C,7,2004,Camri Green,https://www.apartments.com/camri-green-jacksonville-fl/j6ns944/,
381,5717 TIMUQUANA RD,Jacksonville,32210,Sunwen Growth Apartments,7,1968,Timuquana Gardens,https://www.apartments.com/timuquana-gardens-jacksonville-fl/q1h0kjz/,
382,7730 PLANTATION BAY DR,Jacksonville,32244,Vintage Plantation Apartments,7,2001,Vintage at Plantation Bay,https://www.vintageatplantationbay.com/,
383,887 FRANKLIN ST,Jacksonville,32206,Ability Oakland Apartments,6,1973,Oakland Terrace,https://www.apartments.com/oakland-terrace-jacksonville-fl/s46thk5/,
384,4000 ST JOHNS AVE,Jacksonville,32205,Acif I Rivervue Apartments,6,2019,RiverVue Avondale,https://www.apartments.com/rivervue-avondale-jacksonville-fl/t0r85qc/,
385,10598 CORDGRASS LN,Jacksonville,32258,Avenues Walk Apartments,6,2022,Bainbridge Avenues Walk,https://www.apartments.com/bainbridge-avenues-walk-jacksonville-fl/tccdjq9/,
386,7507 PARK VILLAGE DR,Jacksonville,32256,Avere Jacksonville Spe Apartments,6,2022,Avere Southside Quarter,https://www.apartments.com/avere-southside-quarter-jacksonville-fl/gdxpk2z/,
387,2039 NIBLICK DR,Jacksonville,32210,Bdep Jax West Apartments,6,1965,View on the River,https://www.apartments.com/view-on-the-river-jacksonville-fl/bnngehc/,
388,250 LAGO MAR WAY,Jacksonville,32256,Bristol Rtr Apartments,6,2024,,,
389,2441 SPRING PARK RD,Jacksonville,32207,Candlelight Adobe Lc Apartments,6,1964,Candlelight Square,https://www.zillow.com/apartments/jacksonville-fl/candlelight-square/5Xhwc7/,
390,4674 TOWN CENTER PKWY,Jacksonville,32246,Cx Ravella at Town Center Dst Apartments,6,2018,Ravella at Town Center,https://www.apartments.com/ravella-at-town-center-jacksonville-fl/vzkev1e/,
391,1601 N 3RD ST,Jacksonville Beach,32250,Dorsch Villas,6,1949,The Villas Apartments,https://www.apartments.com/the-villas-apartments-jacksonville-beach-fl/v624yyf/,
392,11723 WELLS CREEK PKY,Jacksonville,32256,Felix Apartments,6,2021,The Felix,https://www.apartments.com/the-felix-jacksonville-fl/pr75y3t/,
393,1500 MONUMENT RD,Jacksonville,32225,Florentine Apartments,6,1987,Villas at Bridgepoint,https://www.zumper.com/apartment-buildings/p102024/bridge-point-holly-oaks-jacksonville-fl,
394,10109 OLD ST AUGUSTINE RD,Jacksonville,32257,Huntington Forest Apartments,6,2024,Huntington Forest,https://www.apartments.com/huntington-forest-jacksonville-fl/v60p93g/,
395,3631 N UNIVERSITY BLVD,Jacksonville,32277,Jackson Commons,6,2018,Jackson Commons,https://www.apartments.com/jackson-commons-jacksonville-fl/zhhz3ex/,
396,1620 BARTRAM RD,Jacksonville,32207,Jacksonville Multifamily Ii Dst Apartments,6,2008,Magnolia Village,https://www.apartments.com/magnolia-village-jacksonville-fl/jjv98s7/,
397,14041 HYATT RD,Jacksonville,32218,Jax Hr Apartments,6,2024,The Note,https://www.apartments.com/the-note-jacksonville-fl/cr9cw0e/,
398,1140 KENDALL TOWN BLVD,Jacksonville,32225,Kendall Lakes Apartments,6,2006,Kendall Lake Apartments,https://www.apartments.com/kendall-lake-apartments-jacksonville-fl/rxr36v1/,
399,4083 SUNBEAM RD,Jacksonville,32257,Mandarin Apartments,6,1986,The Park at Anzio,https://www.apartments.com/the-park-at-anzio-jacksonville-fl/89r67n0/,High
400,6226 S BARNES RD,Jacksonville,32216,Mw Landings,6,1967,Landings at Parkview,https://www.apartments.com/landings-at-parkview-jacksonville-fl/4nhlx5j/,High
401,1600 LANSDOWNE DR,Jacksonville,32211,Mw S&L Apartments,6,1974,Alderman Park Apartments,https://www.apartments.com/alderman-park-apartments-jacksonville-fl/68f23vr/,High
402,2600 TROLLIE LN,Jacksonville,32211,Revocable Living Trust of William A Watson Apartments,6,1973,Trollie Lane Apartments,https://www.apartments.com/trollie-lane-apartments-jacksonville-fl/sk4qvr5/,High
403,6455 SAN JUAN AVE,Jacksonville,32210,Samson Equities Apartments,6,1966,Samson Apartments,https://www.apartments.com/samson-equities-jacksonville-fl/1qtzl74/,High
404,6705 ST AUGUSTINE RD,Jacksonville,32217,San Jose Development Apartments,6,1967,Courtyards at San Jose,https://www.apartments.com/the-courtyards-at-san-jose-jacksonville-fl/74c9tqw/,High
405,2650 DEAN RD,Jacksonville,32216,Shucom Oxh Apartments,6,1974,Oxford Hall Apartments,https://www.apartments.com/oxford-hall-apartments-jacksonville-fl/pejsnct/,High
406,8599 A C SKINNER PKWY,Jacksonville,32256,Steele Creek Mesa,6,2017,Steele Creek,https://www.apartments.com/steele-creek-jacksonville-fl/j99he35/,High
407,7385 PARK VILLAGE DR,Jacksonville,32256,Sur Apartments,6,2018,SUR Southside Quarter,https://www.apartments.com/sur-southside-quarter-jacksonville-fl/wfn2bxk/,High
408,11391 SQUARE ST,Jacksonville,32256,Volta Prop Apartments,6,2023,Volta,https://www.apartments.com/volta-jacksonville-fl/fr9fqfs/,High
409,4929 SKYWAY DR,Jacksonville,32246,Wrh Deerwood Apartments,6,2019,Ciel Luxury Apartments,https://www.apartments.com/ciel-luxury-apartments-jacksonville-fl/n0br3wp/,High
410,871 NEW BERLIN RD,Jacksonville,32218,Accel Jacksonville North Apartments,5,2025,Pointe Grand New Berlin,https://www.apartments.com/pointe-grand-new-berlin-jacksonville-fl/y9mh4ks/,High
411,13505 CITICARDS WAY,Jacksonville,32258,B9 Mf Cue Apartments,5,2020,Cue Luxury Living,https://www.apartments.com/cue-luxury-living-jacksonville-fl/6p5ycdv/,High
412,14051 BEACH BLVD,Jacksonville,32250,Beach Blvd Apartments,5,2023,Presidium Regal,https://www.apartments.com/presidium-regal-jacksonville-fl/z5q53cw/,High
413,11849 PALM BAY PKWY,Jacksonville,32256,Bga Jax South Apartments,5,2024,Aventon Highgrove,https://www.apartments.com/aventon-highgrove-jacksonville-fl/c2e9qpf/,High
414,8074 W GATE PKWY,Jacksonville,32216,Bw Sola Apartments,5,2016,SOLA South Lux Apartments,https://www.apartments.com/sola-south-lux-apartments-jacksonville-fl/rzb9g93/,High
415,4890 FLORIDA CLUB CIR,Jacksonville,32216,Ca Florida Club,5,2008,Florida Club at Deerwood,https://www.floridaclubdeerwood.com/,High
416,840 BERT RD,Jacksonville,32211,Catalina Residences Tic,5,1966,Catalina Apartments,https://www.apartments.com/catalina-jacksonville-fl/fyrx47s/,High
417,645 E 21ST ST,Jacksonville,32206,Creative Choice Homes Xx Apartments,5,2006,Sanctuary Walk Apartments,https://www.apartments.com/sanctuary-walk-apartments-jacksonville-fl/j7j5ph6/,High
418,3545 CYPRESS ST,Jacksonville,32205,Cypress St Apartments,5,1985,Cypress Apartments,https://www.apartments.com/cypress-apartments-jacksonville-fl/z1rgmez/,High
419,13924 EGRETS NEST DR,Jacksonville,32256,Dd Fgl 32.4 Apartments,5,2024,Tropia Luxury Apartments,https://www.apartments.com/tropia-luxury-apartments-jacksonville-fl/8creng1/,High
420,901 KENNARD ST,Jacksonville,32208,Duval County School Board Apartments,5,2025,Village at Lake Forest,https://floridayimby.com/2024/08/120-unit-village-at-lake-forest-planned-for-901-kennard-st-jacksonville-fl.html,Medium
421,225 DUVAL STATION RD,Jacksonville,32218,Duval Station Landing,5,2019,Duval Station Landing,https://www.apartments.com/duval-station-landing-jacksonville-fl/vxe9nte/,High
422,13300 ATLANTIC BLVD,Jacksonville,32225,Enclave Apartments,5,2004,The Enclave,https://www.apartments.com/the-enclave-jacksonville-fl/8z2bdq3/,High
423,7613 JASPER AVE,Jacksonville,32211,Gsj Apartments,5,1965,,,
424,2078 HYDE PARK RD,Jacksonville,32210,Infinity Magnolia Apartments,5,1965,Hyde Park Apartments,https://www.apartments.com/hyde-park-jacksonville-fl/x6yl23n/,High
425,1800 BLANDING BLVD,Jacksonville,32210,Jacksonville Housing Authority Apartments,5,1964,Riviera South Apartments,https://www.apartments.com/riviera-south-apartments-jacksonville-fl/hyxlgn0/,High
426,230 E 1ST ST,Jacksonville,32206,Jacksonville Housing Authority Apartments,5,1977,Centennial Towers,https://www.apartments.com/centennial-towers-jacksonville-fl/tmvb788/,High
427,2873 YELLOW PINE CT,Jacksonville,32277,Jax2 Mc Apartments,5,1974,,,
428,1956 JAMMES RD,Jacksonville,32210,Jjta2 Real Apartments,5,1963,,,
429,2951 JUSTINA RD,Jacksonville,32277,Justina Rd Apartments,5,1971,,,
430,3801 ALMEDA ST,Jacksonville,32209,Lafayette Capstone Group De Apartments,5,1969,,,
431,9825 N GATE PKWY,Jacksonville,32246,Mid America Apartments,5,2008,MAA Town Center,https://www.apartments.com/maa-town-center-jacksonville-fl/j18hrg7/,High
432,1600 MILL CREEK RD,Jacksonville,32211,Mill Creek Apartments,5,1972,Mill Creek Manor,https://www.apartments.com/mill-creek-manor-jacksonville-fl/48hhhzl/,High
433,3126 JUSTINA RD,Jacksonville,32277,Miramar Residences Tic,5,1963,,,
434,3031 TALL PINE LN,Jacksonville,32277,Miramar Residences Tic,5,1965,,,
435,3541 VICTORIA PARK RD,Jacksonville,32216,Mw Landings,5,1970,,,
436,8050 W BAYMEADOWS CIR,Jacksonville,32256,Lofts at Baymeadows,5,1982,Lofts at Baymeadows,https://www.apartments.com/lofts-at-baymeadows-resort-style-living-jacksonville-fl/0l2k8h0/,High
437,6610 POWERS AVE,Jacksonville,32217,Powers Avenue Apartments,5,2023,Jackson Palms,https://www.apartments.com/jackson-palms-jacksonville-fl/4h12sjj/,High
438,11401 OLD ST AUGUSTINE RD,Jacksonville,32258,River Garden Holding Apartments,5,1994,River Garden Hebrew Home,https://rivergarden.org/,High
439,2722 W UNIVERSITY BLVD,Jacksonville,32217,Rosengarten Family Apartments,5,1964,San Jose Place Apartments,https://www.apartments.com/san-jose-place-apartments-jacksonville-fl/wbzrg1j/,High
440,3014 BICENTENNIAL DR,Jacksonville,32221,Saddle Brook Landings Annex,5,2021,,,
441,4342 SPRING PARK RD,Jacksonville,32207,Show Case Developers Apartments,5,1964,,,
442,2678 ST JOHNS BLUFF RD,Jacksonville,32246,St Johns Apartments,5,2005,,,
443,5754 MERRILL RD,Jacksonville,32277,Stardust Residences Tic,5,1962,,,
444,2712 STARDUST CT,Jacksonville,32211,Stardust Residences Tic,5,1963,,,
445,660 STARRATT RD,Jacksonville,32218,Vivere Poe Apartments,5,2025,,,
446,8275 SAN JOSE MANOR CT,Jacksonville,32217,Vpb3 Apartments,5,1979,,,
447,3650 STANLEY ST,Jacksonville,32207,Aaa Multifamily Professionals Apartments,4,1962,,,
448,665 STARRATT RD,Jacksonville,32218,Adley Luxe Poe Apartments,4,2025,,,
449,1515 PULLEN RD,Jacksonville,32216,Anabasis Real Estate Investment Apartments,4,1978,,,
450,8291 DAMES POINT CROSSING BLVD,Jacksonville,32277,Atlantic Multi Family Apartments,4,2006,,,
451,13504 CITICARDS WAY,Jacksonville,32256,B9 Mf Cue Apartments,4,2020,,,
452,4870 E DEER LAKE DR,Jacksonville,32246,Bel Deerwood Apartments,4,2013,,,
453,1057 BROWARD RD,Jacksonville,32218,Broward Rd Apartments,4,1973,,,
454,1110 CALIENTE DR,Jacksonville,32211,Cambridge Park Apartments,4,1960,,,
455,3460 BEACH BLVD,Jacksonville,32207,Chance Beach Apartments,4,2024,,,
456,5400 COLLINS LAKES DR,Jacksonville,32244,Collins Cove Housing,4,2005,,,
457,11727 ABESS BLVD,Jacksonville,32225,Dd Abess Apartments,4,2023,,,
458,14180 DUVAL RD,Jacksonville,32218,Duval Mf Apartments,4,2024,,,
459,1780 PEARCE ST,Jacksonville,32209,Edward Waters College Apartments,4,1968,,,
460,1527 FLANDERS RD,Jacksonville,32207,Florida Lakewood Village,4,1965,,,
461,1700 BLANDING BLVD,Jacksonville,32210,Jacksonville Housing Authority Apartments,4,1966,,,
462,2535 JAMMES RD,Jacksonville,32210,Jacksonville Rental Apartments,4,1978,,,
463,5435 W NORDE DR,Jacksonville,32244,Jjta23 Real Apartments,4,1965,,,
464,6756 103RD ST,Jacksonville,32210,Jjta23 Real Apartments,4,1966,,,
465,2501 JAMMES RD,Jacksonville,32210,Jjta9 Real Apartments,4,1968,,,
466,275 SAILFISH DR,Atlantic Beach,32233,Marshpoint Multi Family One,4,1975,,,
467,2207 SPRING PARK RD,Jacksonville,32207,Mater De Apartments,4,1974,,,
468,3131 N UNIVERSITY BLVD,Jacksonville,32211,Miramar Residences Tic,4,1984,,,
469,3016 JUSTINA RD,Jacksonville,32277,Miramar Residences Tic,4,1963,,,
470,11901 ABESS BLVD,Jacksonville,32225,Pac Sorrel Apartments,4,2016,,,
471,3760 S UNIVERSITY BLVD,Jacksonville,32216,Pepa Realty Apartments,4,1974,,,
472,1124 WOODRUFF AVE,Jacksonville,32205,Samuel D Kredell Revocable Living Apartments,4,1970,,,
473,14304 MARINA SAN PABLO PL,Jacksonville,32224,Sayla Development Apartments,4,2021,,,
474,3937 SPRING PARK RD,Jacksonville,32207,Silvertree Seniors Apartments,4,1971,,,
475,2216 SPRING PARK RD,Jacksonville,32207,St Charles Garden Apts,4,1967,,,
476,6919 N MAIN ST,Jacksonville,32208,St Main Street Apartments,4,1944,,,
477,2753 STARDUST CT,Jacksonville,32211,Stardust Residences Tic,4,1963,,,
478,7071 103RD ST,Jacksonville,32210,Vivo Living Apartments,4,1986,Vivo Living Jacksonville,https://www.apartments.com/vivo-living-jacksonville-jacksonville-fl/c9epsvf/,High
479,5051 HARLOW BLVD,Jacksonville,32210,Ability Vch Apartments,3,2025,,,
480,2125 HYDE PARK RD,Jacksonville,32210,Avner Apartments,3,1969,,,
481,13051 GRAN BAY PKWY,Jacksonville,32258,Breit Mf Vera Apartments,3,2018,,,
482,8737 BAYMEADOWS RD,Jacksonville,32256,Bridge Wf Ii Fl Lenox Cove,3,1991,,,
483,1033 BERT RD,Jacksonville,32211,Catalina Residences Tic,3,1965,,,
484,3730 SOUTEL DR,Jacksonville,32208,Christine Cove Apartments,3,2007,,,
485,11385 EXCHANGE ST,Jacksonville,32256,Crp/Rw Olea South Apartments,3,2024,,,
486,13305 BEACH BLVD,Jacksonville,32246,Eastside Mf Apartments,3,2024,,,
487,14030 ATLANTIC BLVD,Jacksonville,32225,Harbortown Apartments,3,2014,,,
488,5290 BIG ISLAND DR,Jacksonville,32246,Jacksonville Town Center Apartments,3,2013,,,
489,944 BROADCAST PL,Jacksonville,32207,Jacksonville Transportation Authority Apartments,3,2024,,,
490,14355 N MAIN ST,Jacksonville,32218,Jax Cr Apartments,3,2025,,,
491,7423 LINDA DR,Jacksonville,32208,Jjta1 Real Apartments,3,1966,,,
492,7420 LINDA DR,Jacksonville,32208,Jjta1 Real Apartments,3,1968,,,
493,1324 PRINCE ST,Jacksonville,32209,"Kings Place Apartments De,",3,1960,,,
494,1054 CALIENTE DR,Jacksonville,32211,La Palma Residences Tic,3,1960,,,
495,5531 LOS SANTOS WAY,Jacksonville,32211,La Palma Residences Tic,3,1959,,,
496,1623 N LIBERTY ST,Jacksonville,32206,Larue Avenue Investors Apartments,3,1931,,,
497,1450 FLAGLER AVE,Jacksonville,32207,Lofts San Mar,3,1919,,,
498,5985 WINDSOR FOREST DR,Jacksonville,32210,Ls 5984 Windsor Apartments,3,1966,,,
499,50 PINE SHADOW PKWY,Jacksonville,32081,Lsc Ponte Vedra Dst Apartments,3,2020,,,
500,2301 WESTMONT ST,Jacksonville,32207,Millennia Jacksonville Fl Tc Apartments,3,1957,,,
501,2404 WESTMONT ST,Jacksonville,32207,Millennia Jacksonville Fl Tc Apartments,3,1957,,,
502,1411 JEFFERSON ST,Jacksonville,32209,Millennia Jax 20 Apartments,3,1952,,,
503,2912 JUSTINA RD,Jacksonville,32277,Miramar Residences Tic,3,1963,,,
504,1241 N BLUEHILL DR,Jacksonville,32218,New Outlook Apartments,3,1998,,,
505,5139 TIMUQUANA RD,Jacksonville,32210,Noal Apartments,3,1966,,,
506,1600 SHETTER AVE,Jacksonville Beach,32250,Pablo Hamlet Ll Apartments,3,1980,,,
507,11833 N MAIN ST,Jacksonville,32218,Pointe Grand,3,2024,,,
508,1905 PROMENADE WAY,Jacksonville,32207,Promenade Apartments,3,2020,,,
509,5255 RACETRACK RD,Jacksonville,32259,Racetrack Apartments,3,2023,,,
510,1650 RIVER RD,Jacksonville,32207,River Road Apartments,3,1951,,,
511,4101 SAN PABLO PKWY,Jacksonville,32224,Rw Marble Olea Beach Haven Apartments,3,2023,Olea Beach Haven,https://www.apartments.com/olea-beach-haven-jacksonville-fl/rbcbs73/,High
512,13283 MAIN ST,Jacksonville,32218,Sagefield Apartments,3,2022,,,
513,7008 PONCE DE LEON AVE,Jacksonville,32217,San Jose Nm Apartments,3,1958,,,
514,4450 TROPEA WAY,Jacksonville,32246,Tbr Jaxon Owner 20 Apartments,3,2018,,,
515,2749 VERNON TER,Jacksonville,32205,Vernon Terrace,3,1916,,,
516,2304 S ST JOHNS BLUFF RD,Jacksonville,32246,Waters Ridge,3,2019,,,
517,7556 LA FONTAINE DR,Jacksonville,32244,Westside Rentals Apartments,3,1971,,,
518,7603 ARBLE DR,Jacksonville,32211,Wny Marshall Arms Apts,3,1965,,,
519,3140 FRANKLIN ST,Jacksonville,32206,Ability Housing Apartments,2,1970,,,
520,953 NEW BERLIN RD,Jacksonville,32218,Accel Jacksonville North Apartments,2,2025,,,
521,5511 LOS SANTOS WAY,Jacksonville,32211,Adobe Apartments,2,1960,,,
522,5459 MATANZAS WAY,Jacksonville,32211,Arco Mat Apartments,2,1956,,,
523,1111 WOODRUFF AVE,Jacksonville,32205,Bdep Murray Hill Apartments,2,1987,,,
524,1131 WOODRUFF AVE,Jacksonville,32205,Bdep Murray Hill Apartments,2,1964,,,
525,1040 BERT RD,Jacksonville,32211,Bert Road Apartments,2,1965,,,
526,1029 CALIENTE DR,Jacksonville,32211,Blue14 Caliente Apartments,2,1960,,,
527,1864 KINGS RD,Jacksonville,32209,Campus Towers Apartments Ll,2,1968,,,
528,1612 LARUE AVE,Jacksonville,32207,Case De Mar Apartments,2,1965,,,
529,939 CEDAR ST,Jacksonville,32207,Cedar Apartments,2,1954,,,
530,15275 N MAIN ST,Jacksonville,32218,Cg North Main Apartments,2,2025,,,
531,1300 HENDRICKS AVE,Jacksonville,32207,Chadbourne Ii Mf Apartments,2,2023,,,
532,1200 PRESERVATION TRL,Jacksonville,32081,Crosstown Apartments,2,2024,,,
533,1720 LANSDOWNE DR,Jacksonville,32211,Duval County School Board Apartments,2,1971,,,
534,811 BEACH BLVD,Jacksonville Beach,32250,East Tbr Jax Beach Apartments,2,2014,,,
535,1580 KINGS RD,Jacksonville,32209,Edward Waters College Apartments,2,1983,,,
536,8283 BAYMEADOWS RD,Jacksonville,32256,Fusion Rental Community Apartments,2,2020,,,
537,4565 LEXINGTON AVE,Jacksonville,32210,Gbasay Land Apartments,2,1963,,,
538,7704 HARE AVE,Jacksonville,32211,Gsj Apartments,2,1961,,,
539,69 W 7TH ST,Atlantic Beach,32233,Heritage V Apartments,2,2001,,,
540,77 W 7TH ST,Atlantic Beach,32233,Heritage V Apartments,2,2001,,,
541,13190 GLEN KERNAN PKWY,Jacksonville,32224,Hodges Apartments,2,2025,,,
542,222 S 2ND AVE,Jacksonville Beach,32250,J P Properties L Apartments,2,1946,,,
543,617 W 44TH ST,Jacksonville,32208,Jacksonville Housing Authority Apartments,2,1970,,,
544,1317 EASTER ST,Jacksonville,32211,Kammerer Rosaria Apartments,2,1962,,,
545,325 E DUVAL ST,Jacksonville,32202,Lofts at Cathedral,2,1950,,,
546,1201 BRETTA ST,Jacksonville,32211,Lpg Revocable Living Apartments,2,1973,,,
547,5984 WINDSOR FOREST DR,Jacksonville,32210,Ls 5984 Windsor Apartments,2,1966,,,
548,1205 N MARKET ST,Jacksonville,32206,Millennia Jax 20 Apartments,2,1921,,,
549,1175 RANDOLPH ST,Jacksonville,32205,Murray Hill Village,2,1973,,,
550,3530 VICTORIA PARK RD,Jacksonville,32216,Mw Landings,2,1970,,,
551,1290 KENDALL TOWN BLVD,Jacksonville,32225,Novo Apartments,2,2022,,,
552,9670 KENDALL POINTE DR,Jacksonville,32225,Kendall Pointe Townhomes,2,2022,,,
553,126 S 13TH AVE,Jacksonville Beach,32250,Nwrw Jax Beach Apartments,2,1973,,,
554,2796 WOOLERY DR,Jacksonville,32211,Oaktree 2796 Realty Apartments,2,1973,,,
555,2791 WOOLERY DR,Jacksonville,32211,Oaktree 2796 Realty Apartments,2,1972,,,
556,2753 MAYPORT RD,Jacksonville,32233,Ocean Reef Atlantic Beach Apartments,2,2022,,,
557,5101 N MAIN ST,Jacksonville,32206,Palm Lots Apartments,2,1949,,,
558,5545 PLAYA WAY,Jacksonville,32211,Poma Apartments,2,1987,,,
559,1218 HICKMAN RD,Jacksonville,32216,Poma Apartments,2,1974,,,
560,780 ISLAND POINT DR,Jacksonville,32218,Preserve at Jax Prop Apartments,2,2023,,,
561,7124 PONCE DE LEON AVE,Jacksonville,32217,Revocable Living Trust of William A Watson Apartments,2,1960,,,
562,5021 QUAN DR,Jacksonville,32205,Saleeba Apartments,2,1971,,,
563,1924 DANESE CT,Jacksonville,32207,San Marco Fm Apartments,2,1963,,,
564,500 BISHOP GATE LN,Jacksonville,32204,Sea 15 Apartments,2,2020,,,
