Row,Address,City,ZIP,Current Name,Units,Year Built,Corrected Name,Source URL,Confidence
59,7400 POWERS AVE,Jacksonville,32217,Bridge Wf Ii Fl Heron Walk,24,1978,Heron Walk,https://www.apartments.com/heron-walk-jacksonville-fl/t8twtqc/,
60,4375 CONFEDERATE POINT RD,Jacksonville,32210,Heritage Multifamily Apartments,24,1973,Bayside at Peninsula,https://www.apartments.com/bayside-at-peninsula-jacksonville-fl/59kt1cq/,
61,11555 BEACH BLVD,Jacksonville,32246,Hickory Patio Apartments,24,1973,Beach Villas,https://www.apartmentlist.com/fl/jacksonville/beach-villas--1,
62,7844 GREGORY DR,Jacksonville,32210,Jacksonville Housing Authority Apartments,24,1970,Gregory West Apartments,https://www.apartmentfinder.com/Florida/Jacksonville-Apartments/Gregory-West-Apartments,
63,7920 ORIOLE ST,Jacksonville,32208,Pine Hill Apartments,24,1988,Pine Hill Apartments,https://www.apartmentfinder.com/Florida/Jacksonville-Apartments/Pine-Hill-Apartments-l8l9kve,
64,1801 KERNAN BLVD,Jacksonville,32246,Sp Pinewood Apartments,24,1991,Pinewood Pointe,https://www.apartmentguide.com/a/Pinewood-Pointe-Jacksonville-FL-6300197/,
65,8024 SOUTHSIDE BLVD,Jacksonville,32256,Bancroft Auburn Glen Apartments,23,1974,Auburn Glen Apartments,https://www.rentcafe.com/apartments/fl/jacksonville/auburn-glen-apartments-0/default.aspx,
66,2260 N UNIVERSITY BLVD,Jacksonville,32211,Cielo at University Apartments,23,1964,Cielo at University,https://www.cieloatuniversity.com/,
67,9855 REGENCY SQUARE BLVD,Jacksonville,32225,Regency Place Combined,23,1982,Regency Place,https://www.rentjax.com/regency-place,
68,5170 COLLINS RD,Jacksonville,32244,Southwind Apartments,23,1993,The Park at Alston Apartments,https://www.yelp.com/biz/the-park-at-alston-apartments-jacksonville,
69,3501 TOWNSEND BLVD,Jacksonville,32277,Townsend Apartments East,23,1972,Townsend Apartments,https://www.townsendapts.com/,
70,7651 GATE PKWY,Jacksonville,32256,Vr Village Walk Holdings Limited,23,2003,Village Walk,https://venterraliving.com/apartments/village-walk/,
71,1721 ANNISTON RD,Jacksonville,32246,Anniston Rd Apartments,22,1975,The Commons,https://bjbjax.com/,
72,6710 COLLINS RD,Jacksonville,32244,Bridge Wf Fl Westland Park,22,1988,Westland Park,https://www.westlandpark.com/,
73,11247 SAN JOSE BLVD,Jacksonville,32223,Cherishome Apartments,22,1989,The Waterford at Mandarin,https://www.waterfordmandarin.com/,
74,11425 MCCORMICK RD,Jacksonville,32225,Dunes Apartment,22,1977,The Dunes Apartments,https://www.thedunesjax.com/,
75,8025 E BAYMEADOWS CIR,Jacksonville,32256,E Baymeadows Apartments,22,1983,Park Avenue,https://www.goparkavenuehome.com/,
76,7350 BLANDING BLVD,Jacksonville,32244,Gmc Oakview Landing,22,1974,Oakview Landing Apartments,https://www.oakviewlandingapartments.com/,
77,5928 FIRESTONE RD,Jacksonville,32244,Jax 174 Apartments,22,1969,The Belmont,https://www.apartments.com/the-belmont-jacksonville-fl/gwxn8vy/,
78,6017 ROOSEVELT BLVD,Jacksonville,32244,Marbella Apartments,22,1973,The Park at Marbella,https://www.theparkatmarbella.com/,
79,8700 SOUTHSIDE BLVD,Jacksonville,32256,Mid America Apartments,22,1986,MAA Southlake,https://www.maac.com/florida/jacksonville/maa-southlake/,
80,9009 WESTERN LAKE DR,Jacksonville,32256,Rre Bay Club,22,1990,Bay Club,https://www.liveatbayclub.com/,
81,3450 TOWNSEND BLVD,Jacksonville,32277,Townsend Apartments West,22,1970,Townsend Apartments I,https://www.zillow.com/apartments/jacksonville-fl/townsend-apartments-i/5Xt3x9/,
82,301 CARAVAN CIR,Jacksonville,32216,Cyclone Riverview Apartments,21,1974,Riverview Apartments,https://www.riverviewjacksonville.com/,
83,14105 EPPLY DR,Jacksonville,32218,Exchange Cedar Creek Apartments,21,2025,Exchange at Cedar Creek,https://www.exchangeatcedarcreek.com/,
84,2045 JAMMES RD,Jacksonville,32210,Infinity Magnolia Apartments,21,1964,Magnolia Terrace,https://www.infinitybh.com/magnolia-terrace,
85,2010 PARENTAL HOME RD,Jacksonville,32216,J H J Park Place,21,1969,Park Place at Beach Blvd,https://www.myfloridalicense.com/LicenseDetail.asp?SID=&id=442192B4AE7B59EED0500651D245063A,
86,843 ALDERMAN RD,Jacksonville,32211,San Remo Residences Tic,21,1968,San Remo,https://www.liveatsanremoapts.com/,
87,9455 103RD ST,Jacksonville,32210,Addison Landing,20,2007,Addison Landing,https://www.addisonlanding.com/,
88,10135 N GATE PKWY,Jacksonville,32246,Breit Mf Arium Apartments,20,1996,Timucuan Lakeside at Town Center,https://www.timucuanlakeside.com/,
89,4460 HODGES BLVD,Jacksonville,32224,Breit Olympus Mf Cape House Apartments,20,1998,Cape House,https://www.liveatcapehouse.com/,
90,4207 CONFEDERATE POINT RD,Jacksonville,32210,Cedar River Apartments,20,1971,Cove at Peninsula,https://www.coveatpeninsulajax.com/,
91,9727 TOUCHTON RD,Jacksonville,32246,Drake at Deerwood Apartments,20,2000,The Drake at Deerwood,https://www.lifeatthedrake.com/,
92,702 N LINCOLN CT,Jacksonville,32209,Finger Paint #3 Apartments,20,1949,Roosevelt Gardens,https://apartmenthomesflorida.com/rental_place/roosevelt-gardens/,
93,8343 HOGAN RD,Jacksonville,32216,Hogan Rd Apartments,20,1975,Creekwood Club,https://www.creekwoodjacksonville.com/,
94,3650 RING LN,Jacksonville,32207,Sp Hh Apartments,20,1971,Harold House Apartments,https://www.haroldhouseapartments.com/,
95,11501 HARTS RD,Jacksonville,32218,Sreit Hampton Ridge,20,1990,Hampton Ridge Apartments,https://www.hamptonridgeapts.com/,
96,2901 BEACHWOOD BLVD,Jacksonville,32246,Beachwood Preservation Apartments,19,1972,Beachwood Apartments,https://www.liveatbeachwood.com/,
97,900 BROWARD RD,Jacksonville,32218,Broward Road Apartments,19,1977,The Marley at Trout River,https://www.marleytroutriverapts.com/,
98,11050 HARTS RD,Jacksonville,32218,Bw Maplecrest Apartments,19,1994,Jasmine,https://www.jasmineapts.com/,
99,13525 BARTRAM PARK BLVD,Jacksonville,32258,Ceai Bartram Park,19,2007,Trails at Bartram Park Apartments,https://livebh.com/apartments/trails-at-bartram-apartments/,
100,6100 ARLINGTON EXPY,Jacksonville,32211,Infinity Reserve at Waters Apartments,19,1970,Reserve at Waters,https://www.apartments.com/reserve-at-waters-jacksonville-fl/fbtr0zs/,
101,3266 JUSTINA RD,Jacksonville,32277,Infinity University Townhomes Apartments,19,1964,University Townhomes,https://www.apartments.com/university-townhomes-jacksonville-fl/13lyn86/,
102,11701 PALM LAKE DR,Jacksonville,32218,Mezza Apartments,19,2008,Mezza Premier Apartments,https://www.mezzaapts.com/,
103,1214 LABELLE ST,Jacksonville,32205,Millennia Jacksonville Fl Tc Apartments,19,1971,Valencia Way,https://www.valenciaway.com/,
104,5701 FISHING PEN CREEK CT,Jacksonville,32244,Shucom Fpc Apartments,19,1985,Seaboard Oaks Apartments,https://optivoseaboard.net/,
105,8150 POINT MEADOWS DR,Jacksonville,32256,Ww Hawthorne Apartments,19,2013,The Hawthorne,https://www.olympusproperty.com/apartments/fl/jacksonville/the-hawthorne/,
106,12450 BISCAYNE BLVD,Jacksonville,32218,Biscayne Blvd Apartments,18,2003,Mission Pointe,https://www.missionpointelifestyle.com/,
107,5821 SAN JUAN AVE,Jacksonville,32210,Cedar Creek Villas,18,1968,Cedar Creek Villas,https://cedarcreekfl.com/,
108,10010 BELLE RIVE BLVD,Jacksonville,32256,Elements Acquisition Apartments,18,1989,Elements of Belle Rive Apartments,https://www.elementsofbelleriveapts.com/,
109,9611 SOUTHBROOK DR,Jacksonville,32256,Everest Evergreen Apartments,18,1985,Evergreen Club,https://www.evergreenclubapts.com/,
110,1000 ISLAND POINT DR,Jacksonville,32218,Island Pointe,18,1988,Island Pointe,https://www.islandpointeapartments.org/,
111,12193 KERNAN LAKE DR,Jacksonville,32246,Kernan Land Apartments,18,2009,North Beach on Kernan,https://northbeachonkernan.com/,
112,2800 S UNIVERSITY BLVD,Jacksonville,32216,Lyfe Apartments,18,1971,The Palms at 2800,https://www.apartments.com/the-palms-at-2800-jacksonville-fl/n847mrp/,
